FrameNo,FrameProcessingTime(s),CumulativeTime(s),NumberOfObjectsDetected,distance(m),,
71,0.393191,29.8454,2,1.499464,,
72,0.414952,30.2604,2,1.563849,,
73,0.375538,30.6359,2,1.590956,,
74,0.396308,31.0322,2,1.155358,,
75,0.415287,31.4475,2,1.104079,,
76,0.419384,31.8669,2,1.038819,,
77,0.44051,32.3074,2,1.032743,,
78,0.443098,32.7505,2,1.061246,,
79,0.417792,33.1683,2,1.042617,,
80,0.439036,33.6074,2,1.172945,,
81,0.446049,34.0534,2,1.283895,,
82,0.435517,34.4889,2,1.140492,,
83,0.434316,34.9232,2,1.226149,,
84,0.454887,35.3781,1,,,
85,0.461664,35.8398,1,,,
86,0.451373,36.2912,1,,,
87,0.420329,36.7115,1,,,
88,0.424729,37.1362,1,,,
89,0.424344,37.5606,2,1.350814,,
90,0.432693,37.9933,2,1.244816,,
91,0.454427,38.4477,2,1.365415,,
92,0.439197,38.8869,2,1.322667,,
93,0.419447,39.3063,2,1.182299,,
94,0.435889,39.7422,2,1.187385,,
95,0.394649,40.1369,2,1.127393,,
96,0.41736,40.5542,2,1.192364,,
97,0.432511,40.9867,2,1.192029,,
98,0.457113,41.4438,2,1.169338,,
99,0.410181,41.854,2,1.218148,,
100,0.46777,42.3218,2,1.193251,,
101,0.445855,42.7677,2,1.15891,,
102,0.436758,43.2044,2,1.202658,,
103,0.411839,43.6163,2,1.233944,,
104,0.444091,44.0603,2,1.1293,,
105,0.43522,44.4956,2,1.115191,,
106,0.41231,44.9079,2,1.042705,,
107,0.441505,45.3494,2,0.842714,,
108,0.452498,45.8019,2,0.536715,,
109,0.437355,46.2392,2,0.601586,,
110,0.452869,46.6921,2,0.36647,,
111,0.435212,47.1273,2,0.372298,,
112,0.437971,47.5653,1,,,
113,0.452474,48.0178,2,0.48775,,
114,0.462043,48.4798,1,,,
115,0.448823,48.9286,1,,,
116,0.401943,49.3306,1,,,
117,0.455271,49.7858,1,,,
118,0.4315,50.2173,1,,,
119,0.426096,50.6434,2,0.733287,,
120,0.408496,51.0519,2,0.772955,,
121,0.40661,51.4585,2,0.808168,,
122,0.388726,51.8473,1,,,
123,0.439864,52.2871,2,0.790129,,
124,0.466065,52.7532,2,0.753988,,
125,0.4375,53.1907,1,,,
126,0.409273,53.6,1,,,
127,0.442876,54.0428,2,0.605816,,
128,0.425089,54.4679,2,0.553513,,
129,0.434185,54.9021,2,0.464478,,
130,0.417257,55.3194,2,0.420566,,
131,0.376324,55.6957,2,0.46711,,
132,0.405541,56.1012,2,0.45524,,
133,0.378474,56.4797,2,0.444503,,
134,0.442607,56.9223,2,0.435661,,
135,0.46177,57.3841,2,0.410856,,
136,0.426955,57.811,2,0.474278,,
137,0.41883,58.2299,2,0.496374,,
138,0.435828,58.6657,2,0.511342,,
139,0.447715,59.1134,2,0.543299,,
140,0.444577,59.558,2,0.455546,,
141,0.449889,60.0079,2,0.316053,,
142,0.448376,60.4563,2,0.560238,,
143,0.432208,60.8885,2,0.922466,,
144,0.442902,61.3314,2,1.524977,,
145,0.423656,61.755,2,1.746176,,
146,0.411134,62.1662,2,1.218509,,
147,0.443555,62.6097,2,1.101321,,
148,0.429768,63.0395,2,1.144946,,
149,0.402754,63.4422,2,1.10216,,
150,0.456326,63.8986,2,1.068192,,
151,0.437251,64.3358,2,0.920347,,
152,0.439626,64.7754,1,,,
153,0.467732,65.2432,1,,,
154,0.443351,65.6865,1,,,
155,0.413415,66.0999,1,,,
156,0.435977,66.5359,1,,,
157,0.437674,66.9736,1,,,
158,0.450456,67.4241,2,1.686817,,
159,0.44777,67.8718,2,1.736513,,
160,0.426947,68.2988,2,1.366438,,
161,0.412699,68.7115,2,0.409018,,
162,0.43503,69.1465,2,0.553135,,
163,0.437272,69.5838,2,0.588359,,
164,0.432987,70.0168,2,0.562354,,
165,0.462522,70.4793,2,0.546527,,
166,0.447471,70.9267,2,0.806398,,
167,0.410364,71.3371,2,0.590698,,
168,0.429522,71.7666,1,,,
169,0.453708,72.2203,2,0.745578,,
170,0.427873,72.6482,2,0.824719,,
171,0.427092,73.0753,2,0.810814,,
172,0.448046,73.5234,2,0.752745,,
173,0.409966,73.9333,2,0.837787,,
174,0.464141,74.3975,2,0.818866,,
175,0.448566,74.846,2,0.931217,,
176,0.44623,75.2923,2,0.916558,,
177,0.421201,75.7135,2,0.885884,,
178,0.45056,76.164,2,0.893335,,
179,0.454635,76.6187,2,0.876708,,
180,0.424102,77.0428,2,0.941887,,
181,0.418516,77.4613,2,0.918716,,
182,0.428117,77.8894,2,0.95125,,
183,0.413386,78.3028,2,0.782295,,
184,0.425222,78.728,2,0.55595,,
185,0.420775,79.1488,2,0.771786,,
186,0.42009,79.5689,2,0.6814,,
187,0.438834,80.0077,2,0.613737,,
188,0.405708,80.4134,2,0.730269,,
189,0.445703,80.8591,2,0.790038,,
190,0.43069,81.2898,2,0.770644,,
191,0.404744,81.6945,2,0.656907,,
192,0.445726,82.1403,2,0.650844,,
193,0.438391,82.5787,2,0.635153,,
194,0.430411,83.0091,2,0.603942,,
195,0.391357,83.4004,2,0.591356,,
196,0.426306,83.8267,2,0.595035,,
197,0.423994,84.2507,2,0.641217,,
198,0.42515,84.6759,2,0.621306,,
199,0.465647,85.1415,2,0.635531,,
200,0.463932,85.6055,2,0.610534,,
201,0.466402,86.0719,2,0.622573,,
202,0.442734,86.5146,2,0.638653,,
203,0.454168,86.9688,2,0.653358,,
204,0.414999,87.3838,2,0.58579,,
205,0.414996,87.7988,2,0.723856,,
206,0.434781,88.2335,2,0.777626,,
207,0.437155,88.6707,2,0.877854,,
208,0.444011,89.1147,2,0.777911,,
209,0.467814,89.5825,2,0.824902,,
210,0.447198,90.0297,2,0.781509,,
211,0.422462,90.4522,1,,,
212,0.448785,90.901,1,,,
213,0.460918,91.3619,2,0.504978,,
214,0.479965,91.8418,2,0.533965,,
215,0.463632,92.3055,2,0.517885,,
216,0.444895,92.7504,2,0.507559,,
217,0.414583,93.165,2,0.516001,,
218,0.421915,93.5869,2,0.503406,,
219,0.43234,94.0192,2,0.499055,,
220,0.449206,94.4684,2,0.498376,,
221,0.425297,94.8937,2,0.499858,,
222,0.430947,95.3247,2,0.50351,,
223,0.426696,95.7514,2,0.503381,,
224,0.421751,96.1731,2,0.506963,,
225,0.442226,96.6153,2,0.51172,,
226,0.421461,97.0368,2,0.550926,,
227,0.43508,97.4719,2,0.633918,,
228,0.45469,97.9266,2,0.703676,,
229,0.464755,98.3913,2,0.722574,,
230,0.451871,98.8432,2,0.736592,,
231,0.450979,99.2942,2,0.793545,,
232,0.444565,99.7387,2,0.723279,,
233,0.464043,100.203,2,0.761709,,
234,0.440436,100.643,2,0.760269,,
235,0.433858,101.077,2,0.754558,,
236,0.448242,101.525,2,0.80666,,
237,0.44231,101.968,2,0.741144,,
238,0.432592,102.4,2,0.790515,,
239,0.428494,102.829,2,0.741144,,
240,0.447734,103.276,2,0.732596,,
241,0.435715,103.712,2,0.761797,,
242,0.435378,104.148,2,0.60185,,
243,0.457093,104.605,2,0.579173,,
244,0.444336,105.049,2,0.643303,,
245,0.436742,105.486,2,0.587524,,
246,0.431439,105.917,2,0.614415,,
247,0.435047,106.352,2,0.619546,,
248,0.426293,106.778,2,0.607224,,
249,0.422077,107.201,2,0.614111,,
250,0.420343,107.621,2,0.59303,,
251,0.432053,108.053,2,0.587366,,
252,0.42138,108.474,2,0.594068,,
253,0.437899,108.912,2,0.592745,,
254,0.40307,109.315,2,0.562572,,
255,0.456949,109.772,2,0.561007,,
256,0.438495,110.211,2,0.560495,,
257,0.452005,110.663,2,0.6138,,
258,0.445043,111.108,2,0.576955,,
259,0.426331,111.534,2,0.585825,,
260,0.410792,111.945,2,0.578466,,
261,0.427223,112.372,2,0.594411,,
262,0.48244,112.855,2,0.621277,,
263,0.467353,113.322,2,0.681832,,
264,0.442813,113.765,2,0.690998,,
265,0.458812,114.224,2,0.661989,,
266,0.457079,114.681,2,0.658236,,
267,0.449022,115.13,2,0.669614,,
268,0.447457,115.577,2,0.660846,,
269,0.467929,116.045,2,0.682293,,
270,0.447821,116.493,2,0.653898,,
271,0.45155,116.944,2,0.661022,,
272,0.447142,117.392,2,0.650527,,
273,0.452383,117.844,2,0.637734,,
274,0.43707,118.281,2,0.629044,,
275,0.443303,118.724,2,0.641313,,
276,0.437538,119.162,2,0.652022,,
277,0.434975,119.597,2,0.660356,,
278,0.452172,120.049,2,0.705978,,
279,0.449866,120.499,2,0.691497,,
280,0.44116,120.94,2,0.828748,,
281,0.42407,121.364,2,0.804527,,
282,0.427215,121.791,2,0.813453,,
283,0.453681,122.245,2,0.832726,,
284,0.434829,122.68,2,0.749762,,
285,0.438362,123.118,2,0.725639,,
286,0.435704,123.554,2,0.783326,,
287,0.47588,124.03,2,0.9775,,
288,0.462129,124.492,2,0.630297,,
289,0.435252,124.927,2,0.552751,,
290,0.427991,125.355,2,0.616128,,
291,0.43755,125.793,2,0.586155,,
292,0.452394,126.245,2,0.62228,,
293,0.440213,126.685,2,0.577131,,
294,0.430011,127.115,2,0.521664,,
295,0.427223,127.543,2,0.556266,,
296,0.430244,127.973,2,0.623206,,
297,0.415147,128.388,2,0.758401,,
298,0.407204,128.795,2,0.835039,,
299,0.411962,129.207,2,0.811514,,
300,0.426255,129.633,2,1.351701,,
301,0.430529,130.064,1,,,
302,0.413679,130.478,2,0.563066,,
303,0.412629,130.89,2,0.514022,,
304,0.441051,131.331,2,0.548331,,
305,0.434685,131.766,2,0.681388,,
306,0.462777,132.229,2,1.031227,,
307,0.440371,132.669,1,,,
308,0.434444,133.104,1,,,
309,0.449661,133.553,1,,,
310,0.457832,134.011,1,,,
311,0.432057,134.443,1,,,
312,0.446356,134.889,1,,,
313,0.409968,135.299,1,,,
314,0.453885,135.753,1,,,
315,0.451136,136.204,1,,,
316,0.440199,136.645,1,,,
317,0.404722,137.049,0,,,
318,0.391563,137.441,0,,,
319,0.412217,137.853,0,,,
320,0.428783,138.282,0,,,
321,0.396289,138.678,0,,,
322,0.436005,139.114,0,,,
323,0.444182,139.558,0,,,
324,0.418235,139.977,0,,,
325,0.433476,140.41,0,,,
326,0.437305,140.847,0,,,
327,0.457972,141.305,0,,,
328,0.428248,141.734,0,,,
329,0.4528,142.186,0,,,
